date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:56:51	28497/28497	---M-Z	200	added ('OK')	text/html	date:Thu,%2009%20Feb%202023%2022:31:27%20GMT	https://peruoffset.pe/retail-moda-accesorios.html	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/retail-moda-accesorios.html	(from https://peruoffset.pe/)
10:56:52	131234/131234	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:45:57%20GMT	https://peruoffset.pe/assets/images/portfolio/img-1.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-1.png	(from https://peruoffset.pe/)
10:56:52	127818/127818	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:45:58%20GMT	https://peruoffset.pe/assets/images/portfolio/img-2.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-2.png	(from https://peruoffset.pe/)
10:56:52	151688/151688	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:45:59%20GMT	https://peruoffset.pe/assets/images/portfolio/img-3.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-3.png	(from https://peruoffset.pe/)
10:56:53	129084/129084	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:45:59%20GMT	https://peruoffset.pe/assets/images/portfolio/img-4.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-4.png	(from https://peruoffset.pe/)
10:56:53	137221/137221	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:46:00%20GMT	https://peruoffset.pe/assets/images/portfolio/img-5.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-5.png	(from https://peruoffset.pe/)
10:56:53	146560/146560	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:46:02%20GMT	https://peruoffset.pe/assets/images/portfolio/img-7.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-7.png	(from https://peruoffset.pe/)
10:56:53	137650/137650	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:46:01%20GMT	https://peruoffset.pe/assets/images/portfolio/img-6.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-6.png	(from https://peruoffset.pe/)
10:56:54	163385/163385	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:46:03%20GMT	https://peruoffset.pe/assets/images/portfolio/img-8.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-8.png	(from https://peruoffset.pe/)
10:56:54	87522/87522	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:46:03%20GMT	https://peruoffset.pe/assets/images/portfolio/img-9.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-9.png	(from https://peruoffset.pe/)
10:56:54	141072/141072	---M--	200	added ('OK')	image/png	date:Wed,%2009%20Nov%202022%2021:46:05%20GMT	https://peruoffset.pe/assets/images/portfolio/img-10.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/portfolio/img-10.png	(from https://peruoffset.pe/)
10:56:54	38117/38117	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:20:55%20GMT	https://peruoffset.pe/assets/images/premio.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/premio.png	(from https://peruoffset.pe/)
10:56:54	35426/35426	---M--	200	added ('OK')	image/png	date:Tue,%2008%20Nov%202022%2022:20:57%20GMT	https://peruoffset.pe/assets/images/reduce.png	//wsl.localhost/Ubuntu/home/omar/projects/peruoffset/peruoffset/peruoffset.pe/assets/images/reduce.png	(from https://peruoffset.pe/)
